16.01.2020                                                                                                       Dynamic List Display                                                                                                               1


	Order	Material	Material Description	Reqmt Date	Reqmts qty	Qty wthdrn	      Open	Unit	Backflush	Phant.item	Bulk Matl	Stg.Ind.	SupplyArea	Stge Type	StorageBin	PeggedReqt	Work ctr	Work center descr.

	201900433	1-1841613-5	PA0688B PCBA MICROVAC MIC PRE-AMP	30.07.2018	        1	        1	        0	PC	X			4	PCB	P10	P10-001	1-1841613-5	505	PCB PICKING
	201913684	1-1841826-7	PA1127 T-GEN2 GRADE 2 8 ZONE EX	01.11.2018	        2	        0	        2	PC	X			4	PCB	P10	P10-001	1-1841826-7	505	PCB PICKING
	201923178	1-1841616-1	PA0453B F4000 RRM RESPONDER RELAY MODULE	24.01.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841616-1	505	PCB PICKING
	201923259	1-1841324-9	PA0868 PCBA F3200 CMOS/TTL RS232 ADAPTOR	24.01.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841324-9	505	PCB PICKING
	201923260	1-1841826-6	PA1126 T-GEN2 GRADE 2 USER I/F	24.01.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841826-6	505	PCB PICKING
	201925905	1-1841779-3	PA1114 PCBA ASE MK2 3G	18.02.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841779-3	505	PCB PICKING
	201934891	1-1841704-2	PA1061B EMSP0804 UNTESTED DISPLY KBD	24.04.2019	        3	        0	        3	PC	X			0	PCB	151	PCB-KB	1-1841704-2	505	PCB PICKING
	201941579	1-1841783-3	PA1067B PCBA CENTAUR CUBE MAIN	19.06.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841783-3	505	PCB PICKING
	201943774	1-1841614-3	PA0875B COMPACT FBA TYPE X/Y C/W LED	11.07.2019	        1	        0	        1	PC	X			4	PCB	P10	P10-001	1-1841614-3	505	PCB PICKING
	201944460	1-1841826-1	PA1120 T-GEN 60 BOARD 1956-1-1	18.07.2019	        2	        0	        0	PC				4	PCB	P10	P10-001	1-1841826-1	505	PCB PICKING
	201945004	1-1841771-5	ME0510 ME 7U INFOALARM DOOR ASSY 4100ES	22.07.2019	        1	        0	        0	PC	X			1	TFPMEC	914		1-1841771-5	570	TSP STANDARD ASSEMBLY
	201945004	1-1841774-5	4100-7159 INFOALARM+ CHINESE SXU	22.07.2019	        1	        1	        0	PC	X			1	TFPMEC	914		1-1841771-5	570	TSP STANDARD ASSEMBLY
	201945004	1-1841788-0	566-1085 KEYBOARD B BOARD SX0180 PCB	22.07.2019	-2	-2	        0	PC	X				TFPMEC			1-1841771-5	570	TSP STANDARD ASSEMBLY
